c_r_rc_100_100/c101.txt ,1.686874465,1.686874465,0,4.274279118,,Instancia,Soluci—n inicial 1era iteraci—n,Mejor Soluci—n Inicial,Mejor Encontrado ILS,GAP %,Tiempo (s)
c_r_rc_100_100/c101.txt ,1.65170423,1.680819866,1.762763245,9.040724039,,,,,,,
c_r_rc_100_100/c101.txt ,1.630890479,1.697779775,4.101397165,10.1346972,,,,,,,
c_r_rc_100_100/c101.txt ,1.646178624,1.686301717,2.437347486,7.071143866,,,,,,,
c_r_rc_100_100/c101.txt ,1.648031683,1.670710401,1.376109305,7.809259892,,,,,,,
c_r_rc_100_100/c101.txt ,1.683875022,1.683875022,0,4.349822998,,,,,,,
c_r_rc_100_100/c101.txt ,1.64111261,1.67901699,2.309675765,7.457535028,,,,,,,
c_r_rc_100_100/c101.txt ,1.68225617,1.68225617,0,4.100379944,,,,,,,
c_r_rc_100_100/c101.txt ,1.660178115,1.660178115,0,4.428030968,,,,,,,
c_r_rc_100_100/c101.txt ,1.679535999,1.679535999,0,4.164498091,,,,,,,
c_r_rc_100_100/c101.txt ,1.688528879,1.688528879,0,4.372460127,,,,,,,
c_r_rc_100_100/c101.txt ,1.679790206,1.679790206,0,4.237130165,,,,,,,
c_r_rc_100_100/c101.txt ,1.619434676,1.664073143,2.756422881,13.683424,,,,,,,
c_r_rc_100_100/c101.txt ,1.652269996,1.652269996,0,4.494287014,,,,,,,
c_r_rc_100_100/c101.txt ,1.673560958,1.684876727,0.676149155,8.329494953,,,,,,,
c_r_rc_100_100/c101.txt ,1.648517608,1.648517608,0,4.659365177,,,,,,,
c_r_rc_100_100/c101.txt ,1.688603989,1.688603989,0,4.78642416,,,,,,,
c_r_rc_100_100/c101.txt ,1.659802559,1.659802559,0,4.854640007,,,,,,,
c_r_rc_100_100/c101.txt ,1.652740928,1.688098341,2.139319755,8.183273077,,,,,,,
c_r_rc_100_100/c101.txt ,1.938569669,1.943924297,0.276215411,6.803879976,,,,,,,
c_r_rc_100_100/c101.txt ,1.654826246,1.675357186,1.240670491,9.311287165,,,,,,,
c_r_rc_100_100/c101.txt ,1.688118064,1.688118064,0,4.300691128,,,,,,,
c_r_rc_100_100/c101.txt ,1.633906525,1.6720287,2.333191883,5.98978591,,,,,,,
c_r_rc_100_100/c101.txt ,1.642532346,1.674399967,1.940151783,8.807476997,,,,,,,
c_r_rc_100_100/c101.txt ,1.681257442,1.681257442,0,4.131690979,,,,,,,
